Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
83,K8CR,443.575000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
84,K8DV,443.450000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
85,NE7AL,444.625000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
86,N8TVU,444.300000,+,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
87,W8NWS,443.700000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,W8SAI,444.950000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
89,WB8BFS,443.800000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
90,WB8WFG,444.150000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,N8JRX,442.200000,+,5.000000,Tone,192.8,88.5,023,NN,FM,5.00,,,,,,
92,WU8S,444.525000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
93,AD4CC,441.800000,+,5.000000,Tone,179.9,88.5,023,NN,FM,5.00,,,,,,
94,W8KJ,443.575000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,W8GFT,444.275000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
96,WC8VOA,443.650000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
97,W8SDR,443.737500,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
117,ICE,165.837500,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
118,ISS,145.800000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
